name,address,tel,url,memo
愛クリニック,所沢市大字中新井字富士見台620-1,04-2937-3630,http://www.saitada-aiclinic.com/,
うえむらクリニック,所沢市御幸町5-15 ライフハウス所沢サガミビル1F,04-2923-2921,http://www.uemura-cl.jp/clinic/#a02,
うだがわクリニック,所沢市北原町1415番地の1 ヤオコー所沢北原店1F,04-2997-4880,http://nishinkai.jp/wp1/form/,
おくもとクリニック,所沢市西所沢1丁目23番3号,04-2903-8320,http://www.okumoto.dr-clinic.jp/,
かわかつクリニック,所沢市小手指台23番地の1 マミーマート所沢山口店2F,04-2920-2200,N/A,
くさかり小児科,所沢市東所沢1丁目3番地の13 東所沢セントラルハイツ1F,04-2945-0205,http://www.kusakari-shounika.or.jp/page1,
彩のクリニック,所沢市小手指町4丁目1番地の1,04-2949-1118,http://www.saino.or.jp/,
新所沢キッズクリニック,所沢市美原町2丁目2931番地の6,04-2990-3100,http://www.shintokokids.com/,
新所沢クローバー小児科,所沢市緑町1丁目1番地4号 巴ビル2D,04-2937-5327,https://www.clover-cl.com/,
梨子田内科クリニック,所沢市弥生町2871-36,04-2996-3181,http://www.nashida-naika.jp/,
はちす診療所,所沢市くすのき台2丁目1-5,04-2993-0338,https://www.hachisusinryoujyo.jp/,
はらこどもクリニック,所沢市小手指町2丁目1379番地,04-2926-4333,http://www.hara-kodomo.com/,
はらだクリニック,所沢市東所沢3丁目9番地の13,04-2945-8769,http://www.iris.dti.ne.jp/~th-3133f/http___www.iris.dti.ne.jp_~th-3133f_/Home.html,
まつば小児科,所沢市松葉町21番2号,04-2936-9137,https://matsuba-shounika.com/,
みかみこどもクリニック,所沢市南住吉21番12号,04-2997-8080,http://www.mikami-kids-clinic.com/,
やまもとキッズクリニック,所沢市三ヶ島4丁目2286番地の11,04-2938-7787,http://www2.tbb.t-com.ne.jp/yamamotokizzu/,
りょうキッズクリニック,所沢市東住吉2番4号 2階D,04-2924-2525,http://www.ryou-kids.com/,
